"schema_version","dataset_fingerprint","assignment_id","reviewer_id","annotation_status","packet_order","evidence_id","display_order","candidate_id","formality_score","evidence_grounding_score","answerability_score","fea_total_score","aggregate_rank","packet_skipped","skip_reason","notes","started_at","completed_at","active_seconds","question","options","correct","answer","video_1_user","video_1_source","video_2_user","video_2_source"
"egolife_rlhf_packet_ranking_v4","dbea4d3c4ab21c99f39c","day5_7_full_100","HM","completed","1","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY5_11073000_A1_A6_0-1","1","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY5_11073000_A1_A6_0-1::candidate_03","2","3","2","7","3","false","","","2026-08-06T14:13:22.627Z","2026-08-06T14:26:03.825Z","3445","I was lying in bed using my laptop. What was the screen of the second laptop on the desk in the room with the large projector screen showing?","[""A download progress bar and a thank you message"",""A video streaming window"",""A spreadsheet with columns of data"",""A desktop background with several icons"",""A web browser with multiple open tabs""]","A","A download progress bar and a thank you message","Jake","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY5/DAY5_A1_JAKE_11073000.mp4","Shure","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A6_SHURE/DAY5/DAY5_A6_SHURE_11073000.mp4"
"egolife_rlhf_packet_ranking_v4","dbea4d3c4ab21c99f39c","day5_7_full_100","HM","completed","1","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY5_11073000_A1_A6_0-1","2","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY5_11073000_A1_A6_0-1::candidate_05","2","3","2","7","2","false","","","2026-08-06T14:13:22.627Z","2026-08-06T14:26:03.825Z","3445","While I was typing on my laptop in bed, I was wondering about the setup in the other room. Is the laptop on the desk in the room with the projector screen currently open and in use, or is it closed?","[""The laptop is closed and sitting on the desk."",""The laptop is open, displaying a screen, and someone is using the trackpad."",""The laptop is open but turned off with a black screen."",""The laptop is closed, but a tablet is open on the desk instead."",""There is no laptop on the desk in that room.""]","B","The laptop is open, displaying a screen, and someone is using the trackpad.","Jake","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY5/DAY5_A1_JAKE_11073000.mp4","Shure","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A6_SHURE/DAY5/DAY5_A6_SHURE_11073000.mp4"
"egolife_rlhf_packet_ranking_v4","dbea4d3c4ab21c99f39c","day5_7_full_100","HM","completed","1","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY5_11073000_A1_A6_0-1","3","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY5_11073000_A1_A6_0-1::candidate_02","2","3","2","7","4","false","","","2026-08-06T14:13:22.627Z","2026-08-06T14:26:03.825Z","3445","I was lying in bed using my laptop. What was the screen of the laptop on the desk in the room with the large projector screen showing?","[""A download progress bar and a thank you message"",""A video streaming window"",""A spreadsheet with columns of data"",""A desktop background with several icons"",""A web browser with multiple open tabs""]","A","A download progress bar and a thank you message","Jake","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY5/DAY5_A1_JAKE_11073000.mp4","Shure","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A6_SHURE/DAY5/DAY5_A6_SHURE_11073000.mp4"
"egolife_rlhf_packet_ranking_v4","dbea4d3c4ab21c99f39c","day5_7_full_100","HM","completed","1","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY5_11073000_A1_A6_0-1","4","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY5_11073000_A1_A6_0-1::candidate_06","3","3","2","8","1","false","","","2026-08-06T14:13:22.627Z","2026-08-06T14:26:03.825Z","3445","I'm working on my laptop in the bedroom, but I can't see the desk in the room with the big projector screen. Is the laptop sitting on that desk currently open with a screen display, or is it closed?","[""The laptop is closed and sitting on the desk."",""The laptop is open, displaying a screen, and someone is using the trackpad."",""The laptop is open but turned off with a black screen."",""The laptop is closed, but a tablet is open on the desk instead."",""There is no laptop on the desk in that room.""]","B","The laptop is open, displaying a screen, and someone is using the trackpad.","Jake","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY5/DAY5_A1_JAKE_11073000.mp4","Shure","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A6_SHURE/DAY5/DAY5_A6_SHURE_11073000.mp4"
"egolife_rlhf_packet_ranking_v4","dbea4d3c4ab21c99f39c","day5_7_full_100","HM","completed","1","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY5_11073000_A1_A6_0-1","5","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY5_11073000_A1_A6_0-1::candidate_04","2","1","2","5","6","false","","","2026-08-06T14:13:22.627Z","2026-08-06T14:26:03.825Z","3445","I was lying in bed working on my laptop, but I couldn't see the details of the room behind me. What was displayed on the screen of the laptop sitting on the desk in the room with the projector screen?","[""A download progress bar and a thank you message"",""A video streaming window"",""A spreadsheet with columns of data"",""A desktop background with several icons"",""A web browser with multiple open tabs""]","A","A download progress bar and a thank you message","Jake","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY5/DAY5_A1_JAKE_11073000.mp4","Shure","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A6_SHURE/DAY5/DAY5_A6_SHURE_11073000.mp4"
"egolife_rlhf_packet_ranking_v4","dbea4d3c4ab21c99f39c","day5_7_full_100","HM","completed","1","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY5_11073000_A1_A6_0-1","6","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY5_11073000_A1_A6_0-1::candidate_01","3","3","1","7","5","false","","","2026-08-06T14:13:22.627Z","2026-08-06T14:26:03.825Z","3445","I'm trying to remember what was sitting on the desk in the room with the big projector screen, specifically to the left of the laptop. Was there a soda can, a white bottle, a pair of glasses, a red object, or nothing there?","[""a soda can"",""a white bottle"",""a pair of glasses"",""a red object"",""nothing""]","B","a white bottle","Jake","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY5/DAY5_A1_JAKE_11073000.mp4","Shure","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A6_SHURE/DAY5/DAY5_A6_SHURE_11073000.mp4"
"egolife_rlhf_packet_ranking_v4","dbea4d3c4ab21c99f39c","day5_7_full_100","HM","completed","2","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY5_11090000_A1_A6_0-1","1","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY5_11090000_A1_A6_0-1::candidate_05","2","3","2","7","1","false","","","2026-08-06T14:26:13.434Z","2026-08-06T19:41:49.922Z","17194","I was using my laptop in bed and couldn't see what was on the other computer in the room with the projector screen. Could you tell me what was sitting directly to the left of that laptop on the desk?","[""A pair of eyeglasses and a white bottle with a red cap"",""A pair of white wireless headphones"",""A red beverage can and a bowl of food"",""A smartphone and a black notebook"",""A white mouse and a blue keyboard""]","A","A pair of eyeglasses and a white bottle with a red cap","Jake","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY5/DAY5_A1_JAKE_11090000.mp4","Shure","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A6_SHURE/DAY5/DAY5_A6_SHURE_11090000.mp4"
"egolife_rlhf_packet_ranking_v4","dbea4d3c4ab21c99f39c","day5_7_full_100","HM","completed","2","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY5_11090000_A1_A6_0-1","2","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY5_11090000_A1_A6_0-1::candidate_02","1","2","2","5","4","false","","","2026-08-06T14:26:13.434Z","2026-08-06T19:41:49.922Z","17194","I was just relaxing in bed with my laptop, but the screen was too dark to see what was on it. On the desk in the room with the projector screen, what was being displayed on the open laptop?","[""A blank desktop background"",""A spreadsheet application"",""A web browser interface"",""A video streaming service"",""A file explorer window""]","C","A web browser interface","Jake","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY5/DAY5_A1_JAKE_11090000.mp4","Shure","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A6_SHURE/DAY5/DAY5_A6_SHURE_11090000.mp4"
"egolife_rlhf_packet_ranking_v4","dbea4d3c4ab21c99f39c","day5_7_full_100","HM","completed","2","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY5_11090000_A1_A6_0-1","3","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY5_11090000_A1_A6_0-1::candidate_06","2","2","2","6","2","false","","","2026-08-06T14:26:13.434Z","2026-08-06T19:41:49.922Z","17194","I am lying in bed holding my laptop and looking toward the window, but I cannot see the workspace area. In the room with the projector screen, what items are sitting on the desk directly to the left of the laptop?","[""A pair of eyeglasses and a white bottle with a red cap"",""A pair of white wireless headphones and a smartphone"",""A red beverage can and a bowl of food"",""A white computer mouse and a blue notebook"",""A white mouse and a black keyboard""]","A","A pair of eyeglasses and a white bottle with a red cap","Jake","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY5/DAY5_A1_JAKE_11090000.mp4","Shure","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A6_SHURE/DAY5/DAY5_A6_SHURE_11090000.mp4"
"egolife_rlhf_packet_ranking_v4","dbea4d3c4ab21c99f39c","day5_7_full_100","HM","completed","2","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY5_11090000_A1_A6_0-1","4","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY5_11090000_A1_A6_0-1::candidate_01","1","2","2","5","4","false","","","2026-08-06T14:26:13.434Z","2026-08-06T19:41:49.922Z","17194","I was looking at my laptop while lying in bed, but the screen was too dark to see what was on it. What was being displayed on the laptop screen in the other room with the projector screen?","[""A blank desktop background"",""A spreadsheet application"",""A web browser interface"",""A video streaming service"",""A file explorer window""]","C","A web browser interface","Jake","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY5/DAY5_A1_JAKE_11090000.mp4","Shure","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A6_SHURE/DAY5/DAY5_A6_SHURE_11090000.mp4"
