"evidence_order","evidence_id","qa_count_for_evidence","run","question_type","question","option_A","option_B","option_C","option_D","option_E","model_correct_letter","model_answer","review_status","reviewer_answer","answer_correct","evidence_grounded","asker_alone_answerable","two_user_needed","wording_formality","error_tags","reviewer_notes","reviewed_at","qa_id","source_file","required_users","attempt_count","judge_video_source","video_1_user","video_1_url","video_2_user","video_2_url","generator_rationale","evidence_claims","referred_timestamps","single_user_answerability","combined_answerability","why_two_users_needed","review_key"
"1","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY1_17243000_A1_A5_0-1","1","experiment","neutral","I was standing at the fruit counter looking at the pre-cut fruit display, but I couldn't see the end of the aisle behind me. Did you happen to grab a yellow box of drinks from the top shelf?","Yes, I grabbed one and put it in the cart","No, I was looking at the bottles on the shelf below","Yes, I grabbed two of them","No, I couldn't reach the top shelf","Yes, I put one in my pocket","A","Yes, I grabbed one and put it in the cart","Pass","","Unset","Unset","Unset","Unset","Unset","","judge failed to capture second person question
F2G3A2","2026-07-31T17:33:37.189Z","EGOLIFE2U_PRUNED_DAY1_17243000_A1_A5_REVISION_1","qa_mcq.jsonl","Jake | Katrina","3","full","Jake","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY1/DAY1_A1_JAKE_17243000.mp4","Katrina","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A5_KATRINA/DAY1/DAY1_A5_KATRINA_17243000.mp4","This question addresses a natural information gap where one person (Jake) is occupied with a different task (selecting fruit) while another (Katrina) completes a specific shopping action (grabbing a beverage item). The asker uses a shared-memory perspective ('Did you happen to grab...') to verify the outcome of an event they missed.","Jake: Jake is standing in the produce section, looking at and selecting pre-cut fruit packages from a refrigerated display case. He is spatially separated from the beverage aisle and cannot see the beverage shelves behind him. [00:00 - 00:27] | Katrina: Katrina is in the beverage aisle. She reaches up to the top shelf, grabs a single yellow box (Vita brand), and places it into the shopping cart. [00:05 - 00:10]","Katrina @ 5s: Katrina reaches for the yellow box | Katrina @ 9s: Katrina places the yellow box in the cart","{""Jake"":""insufficient because Jake is in a completely different section of the store (fruit section) and does not see the beverage aisle or the shopping of the yellow boxes."",""Katrina"":""sufficient because Katrina's view clearly shows her reaching for, selecting, and placing the yellow box into the cart.""}","sufficient because Jake's video establishes his presence in the fruit section (making him unable to verify the action), while Katrina's video provides the direct visual evidence of the yellow box being selected and added to the cart.","Jake cannot answer the question because he is spatially separated from the event. Katrina's view is required to confirm that the item was indeed selected and placed in the cart.","experiment::EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY1_17243000_A1_A5_0-1::EGOLIFE2U_PRUNED_DAY1_17243000_A1_A5_REVISION_1"
"2","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY1_18303000_A1_A5_0-1","1","experiment","neutral","When we were hanging out in the area with the blue grid wall, I remember seeing a wall with a large orange painted section behind us, but I can't recall the color of the wall on the opposite side of the hallway. Was it white, blue, red, grey, or black?","a wall with a large red painted section","a wall with a large blue painted section","a wall with a large grey painted section","a wall with a large black painted section","a wall with a large yellow painted section","A","a wall with a large red painted section","Pass","","Unset","Unset","Unset","Unset","Unset","","F3/G3/A2","2026-07-31T17:34:46.494Z","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY1_18303000_A1_A5_0-1_Q1","qa_mcq.jsonl","Jake | Katrina","1","full","Jake","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY1/DAY1_A1_JAKE_18303000.mp4","Katrina","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A5_KATRINA/DAY1/DAY1_A5_KATRINA_18303000.mp4","This question leverages the spatial difference between the two camera views. Jake is focused on the group and the orange/blue walls, creating a natural information gap about the rest of the environment. Katrina's wider angle fills this gap. The question is natural as a 'memory check' about the shared environment.","Jake: Jake's view shows the group standing in a hallway with a blue grid wall on one side and a large orange painted section on the wall to their right. The wall on the opposite side (left) is largely out of frame or indistinct in the peripheral view. [18:30:30 - 18:30:59] | Katrina: Katrina's view provides a wider perspective of the hallway, clearly showing that the wall opposite the blue grid wall features large red painted sections with text on them. [18:30:33 - 18:30:54]","Jake @ 4s: Jake shows the orange wall section clearly on the right side of the frame. | Katrina @ 4s: Katrina shows the red wall section clearly in the background, opposite the blue grid wall.","{""Jake"":""insufficient because the asker's view is oriented towards the orange wall and the blue grid wall, leaving the opposite wall (the red one) out of frame or obscured."",""Katrina"":""sufficient because the evidence provider's view captures the full width of the hallway, including the red wall section on the opposite side.""}","sufficient because Katrina's view supplies the specific visual detail (the red wall) that is missing from Jake's perspective, allowing for a definitive answer about the hallway's appearance.","Jake's view establishes the context (the blue grid and orange wall) but fails to show the opposite side. Katrina's view is required to identify the color of that opposite wall.","experiment::EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY1_18303000_A1_A5_0-1::EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY1_18303000_A1_A5_0-1_Q1"
"3","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY1_20373000_A2_A3_0-1","1","experiment","neutral","I noticed a pot on the stove in the kitchen, but I wasn't sure if it was being used for cooking. What was happening with the pot on the burner?","The pot was empty and the burner was off","The pot was full of liquid and being stirred with a spoon","The pot contained raw meat and was sizzling","The pot was covered with a lid and steaming","The pot was sitting on a portable induction cooker","B","The pot was full of liquid and being stirred with a spoon","Pass","","Unset","Unset","Unset","Unset","Unset","","F3/G3/A2","2026-07-31T17:36:46.785Z","EGOLIFE2U_A2_A3_DAY1_KITCHEN_POT_PREP","qa_mcq.jsonl","Alice | Tasha","3","full","Alice","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A2_ALICE/DAY1/DAY1_A2_ALICE_20373000.mp4","Tasha","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A3_TASHA/DAY1/DAY1_A3_TASHA_20373000.mp4","This question addresses a natural information gap regarding the state and activity associated with a kitchen object. Alice is present in the kitchen but her attention and camera angle are directed elsewhere (sink/dining), making the stove's status invisible to her. Tasha's view fills this gap by facing the stove directly. The question asks for a specific visual detail (pot contents and action) that is only available from the second perspective.","Alice: Alice is in the kitchen area but her view is directed towards the sink, microwave, and dining area, never providing a clear view of the stove's burners or the pot's state. [20:37:30 to 20:37:59] | Tasha: Tasha's view clearly shows the stove top with a pot on it. The pot contains a brownish liquid, and a hand is seen stirring it with a spoon/ladle. [20:37:54 to 20:37:56]","Tasha @ 24s: Tasha looks directly at the stove, revealing the pot with liquid being stirred. | Alice @ 16s: Alice is standing in the kitchen but facing away from the stove.","{""Alice"":""insufficient because Alice's camera view is focused on the sink, counter, and dining area, never capturing a clear view of the stove burners or the contents of the pot."",""Tasha"":""sufficient because Tasha's camera is pointed directly at the stove, clearly showing the pot with liquid and the action of stirring.""}","sufficient because Tasha's view provides the direct visual evidence of the pot's contents and the action taking place (stirring liquid), while Alice's view establishes the context of the kitchen environment where the stove is located but obscured.","Alice's perspective is limited to the sink and dining area, creating a blind spot regarding the stove. Tasha's perspective fills this blind spot by facing the stove. The question relies on the complementary spatial viewpoints of the two users.","experiment::EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY1_20373000_A2_A3_0-1::EGOLIFE2U_A2_A3_DAY1_KITCHEN_POT_PREP"
"4","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY2_21243000_A5_A6_0-1","1","experiment","neutral","I was writing a list of tasks on the whiteboard in the dining area, but I couldn't see what was happening in the room with the projector screen. Who was sitting at the table there?","The person with short dark hair and a white shirt","The person with long hair and a blue shirt","The person with pink hair and a pink blouse","The person wearing a black jacket","The person in the grey hoodie","A","The person with short dark hair and a white shirt","Pass","","Unset","Unset","Unset","Unset","Unset","","F3/G2/A2
both rooms had a projector, so im not sure which judge should i deduct points from; formality is pure textual, and the question is grounded by evidence.","2026-07-31T17:38:32.743Z","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY2_21243000_A5_A6_0-1","qa_mcq.jsonl","Katrina | Shure","1","full","Katrina","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A5_KATRINA/DAY2/DAY2_A5_KATRINA_21243000.mp4","Shure","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A6_SHURE/DAY2/DAY2_A6_SHURE_21243000.mp4","The asker is occupied with writing on a whiteboard in one room and has a natural information gap regarding the activity in the adjacent room. The provider's view fills this gap by showing exactly who is in that room.","Katrina: Writes on a whiteboard in a dining area with a checkered tablecloth and flowers; the view does not show the room with the projector screen. [00:17 - 00:29] | Shure: Enters a room with a projector screen and an orange table, where a person with short dark hair and a white shirt is sitting. [00:17 - 00:21]","Katrina @ 17s: Writing on whiteboard | Shure @ 17s: Entering room with projector screen","{""Katrina"":""insufficient because the asker is in the dining area writing on a whiteboard and cannot see into the adjacent room with the projector screen."",""Shure"":""sufficient because the evidence provider enters the room with the projector screen and clearly sees the person sitting at the table.""}","sufficient because the asker's view establishes the context of being in the dining area while the provider's view supplies the specific visual detail of the person in the other room.","The asker's view is physically restricted to the dining area, making it impossible to see the person in the other room. The provider's view provides the necessary visual evidence of the person's appearance and location.","experiment::EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY2_21243000_A5_A6_0-1::EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY2_21243000_A5_A6_0-1"
"5","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY2_22450000_A1_A4_0-1","1","experiment","neutral","I was in the room with the multiple monitors and noticed someone with pink hair standing in the main room with the checkered tablecloth. What color were the shoes the person with pink hair was wearing?","Yellow slides","White sneakers","Black boots","Blue sandals","Red heels","A","Yellow slides","Fail","","Unset","Unset","Unset","Unset","Unset","","F3/G3/A1
two frames in the beginning of the video shows the pink haired woman wearing yellow slippers","2026-07-31T17:43:48.149Z","EGOLIFE2U_DAY2_22450000_A1_A4_0-1","qa_mcq.jsonl","Jake | Lucia","2","full","Jake","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY2/DAY2_A1_JAKE_22450000.mp4","Lucia","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A4_LUCIA/DAY2/DAY2_A4_LUCIA_22450000.mp4","This question addresses a natural information gap where the asker (Jake) observes a person from a distance and misses a specific detail (shoe color) that is clearly visible to the other user (Lucia) who is in the same room as that person.","Jake: Jake is inside the bedroom with the monitor stack. He briefly sees the person with pink hair standing in the doorway at the end of the clip, but the view is from behind and at a distance, making the shoes difficult to identify clearly. [00:27 - 00:28] | Lucia: Lucia is in the main room with the checkered tablecloth. She provides a clear view of the person with pink hair standing nearby, clearly showing they are wearing bright yellow slides. [00:01 - 00:02]","Jake @ 28s: Jake looking out the bedroom door, seeing the person with pink hair from behind | Lucia @ 1s: Lucia viewing the person with pink hair standing in the room, clearly showing yellow slides","{""Jake"":""insufficient because Jake is in the bedroom and only sees the person with pink hair from a distance through the doorway, where the footwear is not clearly distinguishable."",""Lucia"":""sufficient because Lucia is in the same room as the person with pink hair and has a clear, close-up view of their yellow slides.""}","sufficient because Jake establishes the context of observing the person with pink hair from the bedroom, while Lucia's view in the main room provides the necessary visual detail to identify the yellow slides.","Jake's view establishes the identity of the person of interest (pink hair) but lacks the resolution to identify their shoes. Lucia's view supplies the specific visual evidence of the yellow slides.","experiment::EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY2_22450000_A1_A4_0-1::EGOLIFE2U_DAY2_22450000_A1_A4_0-1"
"6","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY3_20393000_A3_A6_0-1","1","experiment","neutral","I was busy washing the pan in the kitchen sink, but I couldn't see the outside area. Was the patio umbrella open or closed out there?","The umbrella was closed","The umbrella was open","There was no umbrella visible","The umbrella was half-open","The umbrella was covered by a tarp","B","The umbrella was open","Pass","","Unset","Unset","Unset","Unset","Unset","","F3/E3/A2","2026-07-31T19:12:48.384Z","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY3_20393000_A3_A6_0-1","qa_mcq.jsonl","Tasha | Shure","1","full","Tasha","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A3_TASHA/DAY3/DAY3_A3_TASHA_20393000.mp4","Shure","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A6_SHURE/DAY3/DAY3_A6_SHURE_20393000.mp4","This question leverages the spatial separation between the two users. Tasha is focused on a task (washing dishes) that limits her peripheral awareness of the house's exterior. Shure provides the complementary view of the exterior environment. The question asks for a simple state verification (open vs. closed) which is a natural query for someone who cannot see that area themselves.","Tasha: Is inside the kitchen washing dishes, establishing the context of the information gap. [20:39:30 - 20:39:56] | Shure: Is viewing the outdoor patio area where a large umbrella is clearly visible in an open position. [20:39:47 - 20:39:53]","Shure @ 17s: Umbrella is seen open in the outdoor patio view | Shure @ 23s: Umbrella remains open in the outdoor patio view","{""Tasha"":""insufficient because the asker is inside the kitchen and never looks toward the outdoor patio area."",""Shure"":""sufficient because the evidence provider has a clear view of the outdoor patio and can see the state of the umbrella.""}","sufficient because Tasha's view establishes the domestic context of cleaning up while Shure's view provides the specific visual fact about the patio umbrella's state.","Tasha cannot answer the question because she is indoors and the patio is not visible in her field of view. Shure is needed to provide the visual evidence of the umbrella's state from the outdoor perspective.","experiment::EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY3_20393000_A3_A6_0-1::EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY3_20393000_A3_A6_0-1"
"7","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY3_21133000_A2_A5_0-1","1","experiment","neutral","I was looking into a dark box on the table and saw some red lights, but I couldn't see what else was on the table itself. Did you see if there was a large umbrella covering the table in that outdoor area?","Yes, there was a large open patio umbrella over the table.","No, the table was completely uncovered and exposed.","There was a folded umbrella leaning against the wall.","The table was covered by a transparent glass roof.","There was a small beach umbrella on the table.","A","Yes, there was a large open patio umbrella over the table.","Pass","","Unset","Unset","Unset","Unset","Unset","","F1/E2/A2
second person question, so F is given 1
dark box with red light was a grill, so very ambiguous evidence claim","2026-07-31T19:14:28.105Z","EGOLIFE2U_DAY3_21133000_A2_A5_01","qa_mcq.jsonl","Alice | Katrina","1","full","Alice","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A2_ALICE/DAY3/DAY3_A2_ALICE_21133000.mp4","Katrina","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A5_KATRINA/DAY3/DAY3_A5_KATRINA_21133000.mp4","Alice is focused on a specific object on the table and cannot see the surrounding environment. The question asks for a spatial detail (the umbrella) that is present in the same scene but outside Alice's field of view, which is clearly visible in Katrina's footage.","Alice: Alice is looking down at a dark box or case on a table, seeing red indicator lights inside, but the camera angle is directed downwards and does not show the overhead environment. [21:13:54:00 - 21:13:55:00] | Katrina: Katrina's view shows the same table setting (identifiable by the table and chairs) from a wider angle, clearly revealing a large open patio umbrella directly above the table. [21:13:32:00 - 21:13:33:00]","Alice @ 24s: Alice looking at box with red lights | Katrina @ 2s: Katrina showing table with umbrella","{""Alice"":""insufficient because the camera is pointed down at the table surface and the box, completely missing the overhead space where an umbrella would be located."",""Katrina"":""sufficient because the view captures the entire table setup including the large open umbrella above it.""}","sufficient because Alice's view establishes the context of the table interaction, while Katrina's view provides the missing visual detail of the overhead umbrella covering that same table.","Alice's view is limited to the tabletop and the object she is holding/inspecting. Katrina's view provides the wider context of the patio area, revealing the umbrella that Alice cannot see.","experiment::EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY3_21133000_A2_A5_0-1::EGOLIFE2U_DAY3_21133000_A2_A5_01"
"8","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY3_21500000_A5_A6_0-1","1","experiment","neutral","I was outside grilling and using my phone, but I couldn't see what was happening inside. What food item was the person in the pink shirt peeling at the kitchen sink?","A potato","A carrot","An onion","A banana","A cucumber","B","A carrot","Pass","","Unset","Unset","Unset","Unset","Unset","","F3/E3/A2","2026-07-31T19:16:19.086Z","EGOLIFE2U_DAY3_KATRINA_SHURE_GRILLING_KITCHEN_01","qa_mcq.jsonl","Katrina | Shure","2","full","Katrina","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A5_KATRINA/DAY3/DAY3_A5_KATRINA_21500000.mp4","Shure","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A6_SHURE/DAY3/DAY3_A6_SHURE_21500000.mp4","The asker (Katrina) is outside and cannot see the activity inside the kitchen. The evidence provider (Shure) is inside and captures the specific action of a person in a pink shirt peeling a carrot. The question asks for a specific visual detail (the food item) that is completely missing from the asker's view but clearly visible in the provider's view.","Katrina: Katrina is standing outside by a grill, looking at a smartphone, and has no visual access to the interior of the house. [00:00 - 00:29] | Shure: Shure's view inside the kitchen clearly shows a person in a pink shirt standing at the sink, holding an orange vegetable (carrot) and peeling it with a yellow peeler. [00:04 - 00:10]","Shure @ 8s: Person in pink shirt clearly peeling a carrot with a yellow peeler","{""Katrina"":""insufficient because the asker is outside grilling and has no visual access to the kitchen or the activity occurring at the sink"",""Shure"":""sufficient because the video clearly shows the person in the pink shirt peeling an orange vegetable that is identifiable as a carrot""}","sufficient because the required users' videos together support exactly one option","Katrina's view establishes the context of being outside and unable to see the kitchen, creating the information gap. Shure's view provides the specific visual evidence of the peeling action and the identity of the vegetable (carrot) that answers the question.","experiment::EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY3_21500000_A5_A6_0-1::EGOLIFE2U_DAY3_KATRINA_SHURE_GRILLING_KITCHEN_01"
"9","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY3_22433000_A1_A4_0-1","1","experiment","neutral","I was holding the tray of strawberry tarts and started walking toward the door. Who was the person standing near the kitchen counter that I passed?","A person wearing a green jacket","A person wearing a pink shirt","A person wearing a white shirt","A person wearing a black shirt","A person wearing a blue shirt","B","A person wearing a pink shirt","Fail","","Unset","Unset","Unset","Unset","Unset","","F3/E1/A2
pink shirt was the asker himself, also answer is ambiguous, as green jacket and white shirt all appear in the evidence stream.","2026-07-31T19:17:26.166Z","EGOLIFE2U_DAY3_A1_A4_0-1_Q2","qa_mcq.jsonl","Jake | Lucia","2","full","Jake","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY3/DAY3_A1_JAKE_22433000.mp4","Lucia","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A4_LUCIA/DAY3/DAY3_A4_LUCIA_22433000.mp4","This is a natural identity/attribute question where the asker (Jake) interacts with or passes a person but lacks the visual detail to identify them (specifically, their clothing color). The question asks for a concrete missing detail supplied by the other user's view.","Jake: Jake is holding a tray of strawberry tarts and walking towards a doorway. At the very edge of his frame (frame 4), a person's arm and shoulder are visible, but their clothing color is not clearly distinguishable. [00:03 - 00:04] | Lucia: Lucia's video shows the kitchen area where a person in a pink shirt is standing near the counter. This person is the one who eventually takes the tray of tarts from the woman in the green jacket. [00:01 - 00:03]","Jake @ 4s: Jake walking towards the door with the tray | Lucia @ 2s: Person in pink shirt standing near the counter","{""Jake"":""insufficient because the asker alone only provides a partial view of the person he passes, making it impossible to determine their clothing color."",""Lucia"":""sufficient because the evidence provider alone clearly shows the person standing near the counter wearing a pink shirt.""}","sufficient because Jake's view establishes the context of passing a person while holding the tray, and Lucia's view provides the visual confirmation of that person's clothing color.","Jake's view shows the action of passing a person but not their appearance clearly. Lucia's view captures the same person from a different angle, revealing the pink shirt, which provides the necessary visual evidence to answer the question.","experiment::EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY3_22433000_A1_A4_0-1::EGOLIFE2U_DAY3_A1_A4_0-1_Q2"
"10","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY3_22480000_A1_A2_0-1","1","experiment","neutral","I was looking at the screen on the table while we were hanging out, but I couldn't see what was happening at the grill. What kind of food were we actually cooking on the grate?","Slices of marinated meat","Whole grilled fish","Vegetable skewers","Large steaks","Burgers in buns","A","Slices of marinated meat","Pass","","Unset","Unset","Unset","Unset","Unset","","F3/E3/A2","2026-07-31T19:20:17.787Z","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY3_22480000_A1_A2_0-1","qa_mcq.jsonl","Jake | Alice","1","full","Jake","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY3/DAY3_A1_JAKE_22480000.mp4","Alice","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A2_ALICE/DAY3/DAY3_A2_ALICE_22480000.mp4","This question addresses a natural information gap: Jake is present at the gathering but focused on a screen, missing the details of the cooking activity happening nearby. Alice's view supplies the specific visual evidence of the food type.","Jake: Jake is seated at a table with a laptop screen visible, but the grill area is not clearly in view or distinguishable. [00:00 - 00:29] | Alice: Alice is using chopsticks to place and turn slices of marinated meat (resembling chicken) onto the grill grate. [00:00 - 00:29]","Alice @ 1s: Alice placing meat on grill | Alice @ 15s: Alice turning meat on grill","{""Jake"":""insufficient because Jake's view is focused on the table and laptop, and the grill activity is either occluded or too distant to identify the specific food items."",""Alice"":""sufficient because Alice's view is a close-up of the grill, clearly showing slices of meat being cooked.""}","sufficient because Alice's video provides the specific visual detail of the food on the grill that Jake cannot see from his position at the table.","Jake's perspective establishes the context of the gathering but lacks the visual detail of the grill. Alice's perspective provides the necessary close-up view to identify the food item.","experiment::EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY3_22480000_A1_A2_0-1::EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY3_22480000_A1_A2_0-1"
