schema_version,dataset_fingerprint,assignment_id,reviewer_id,annotation_status,packet_order,evidence_id,display_order,candidate_id,formality_score,evidence_grounding_score,answerability_score,packet_skipped,skip_reason,notes,started_at,completed_at,active_seconds,question,options,correct,answer,video_1_user,video_1_source,video_2_user,video_2_source,evidence_reviewed,source_csv
egolife_rlhf_packet_ranking_v2,fc8ae24487bab271f513,day1_4_full_day_98_packets,xl6775,completed,1,EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY1_11153000_A1_A3_0-1,1,EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY1_11153000_A1_A3_0-1::candidate_06,1,3,1,false,,,Fri Aug 07 2026 02:57:14 GMT-0400 (Eastern Daylight Time),Fri Aug 07 2026 20:43:41 GMT-0400 (Eastern Daylight Time),64047,"I remember seeing a person standing by the red refrigerator while we were looking at the gadgets on the table, but I couldn't quite make out what they were wearing. What color was that person's shirt?","[""A light pink shirt"",""A green patterned top"",""A bright blue shirt"",""A black shirt"",""A white shirt""]",C,A bright blue shirt,Jake,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY1/DAY1_A1_JAKE_11153000.mp4,Tasha,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A3_TASHA/DAY1/DAY1_A3_TASHA_11153000.mp4,true,day1_4_annotated_20
egolife_rlhf_packet_ranking_v2,fc8ae24487bab271f513,day1_4_full_day_98_packets,xl6775,completed,1,EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY1_11153000_A1_A3_0-1,2,EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY1_11153000_A1_A3_0-1::candidate_02,3,3,1,false,,,Fri Aug 07 2026 02:57:14 GMT-0400 (Eastern Daylight Time),Fri Aug 07 2026 20:43:41 GMT-0400 (Eastern Daylight Time),64047,"I can see the table covered with a red and white checkered cloth, but I can't tell what color the refrigerator is from where I'm sitting. What color is the refrigerator standing near the doorway?","[""A bright red refrigerator"",""A white refrigerator"",""A stainless steel refrigerator"",""A black refrigerator"",""A pastel blue refrigerator""]",A,A bright red refrigerator,Jake,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY1/DAY1_A1_JAKE_11153000.mp4,Tasha,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A3_TASHA/DAY1/DAY1_A3_TASHA_11153000.mp4,true,day1_4_annotated_20
egolife_rlhf_packet_ranking_v2,fc8ae24487bab271f513,day1_4_full_day_98_packets,xl6775,completed,1,EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY1_11153000_A1_A3_0-1,3,EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY1_11153000_A1_A3_0-1::candidate_04,2,1,1,false,,,Fri Aug 07 2026 02:57:14 GMT-0400 (Eastern Daylight Time),Fri Aug 07 2026 20:43:41 GMT-0400 (Eastern Daylight Time),64047,"I was looking at the table with the red-and-white checkered cloth, and I saw someone sitting near the whiteboard with some blue boxes in front of them. Which person was sitting at the table wearing a white top?","[""The person with long pink hair"",""The person in the black shirt"",""The person in the orange shirt"",""The person in the green patterned shirt"",""The person in the blue shirt""]",A,The person with long pink hair,Jake,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY1/DAY1_A1_JAKE_11153000.mp4,Tasha,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A3_TASHA/DAY1/DAY1_A3_TASHA_11153000.mp4,true,day1_4_annotated_20
egolife_rlhf_packet_ranking_v2,fc8ae24487bab271f513,day1_4_full_day_98_packets,xl6775,completed,1,EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY1_11153000_A1_A3_0-1,4,EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY1_11153000_A1_A3_0-1::candidate_01,1,3,1,false,,,Fri Aug 07 2026 02:57:14 GMT-0400 (Eastern Daylight Time),Fri Aug 07 2026 20:43:41 GMT-0400 (Eastern Daylight Time),64047,"I'm looking at the person sitting in the chair wearing the black top and glasses, who seems to be looking at something on the table. What color is the shirt of the person standing right next to the red refrigerator?","[""A bright blue t-shirt"",""A white button-down shirt"",""A pink blouse"",""A black long-sleeve top"",""A grey sweatshirt""]",A,A bright blue t-shirt,Jake,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY1/DAY1_A1_JAKE_11153000.mp4,Tasha,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A3_TASHA/DAY1/DAY1_A3_TASHA_11153000.mp4,true,day1_4_annotated_20
egolife_rlhf_packet_ranking_v2,fc8ae24487bab271f513,day1_4_full_day_98_packets,xl6775,completed,1,EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY1_11153000_A1_A3_0-1,5,EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY1_11153000_A1_A3_0-1::candidate_03,3,3,1,false,,,Fri Aug 07 2026 02:57:14 GMT-0400 (Eastern Daylight Time),Fri Aug 07 2026 20:43:41 GMT-0400 (Eastern Daylight Time),64047,"I'm looking at the table covered with the red and white checkered cloth, but I can't see the area near the window clearly from my spot. What color is the refrigerator standing next to the window?","[""A bright red refrigerator"",""A white refrigerator"",""A stainless steel refrigerator"",""A black refrigerator"",""A pastel blue refrigerator""]",A,A bright red refrigerator,Jake,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY1/DAY1_A1_JAKE_11153000.mp4,Tasha,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A3_TASHA/DAY1/DAY1_A3_TASHA_11153000.mp4,true,day1_4_annotated_20
egolife_rlhf_packet_ranking_v2,fc8ae24487bab271f513,day1_4_full_day_98_packets,xl6775,completed,1,EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY1_11153000_A1_A3_0-1,6,EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY1_11153000_A1_A3_0-1::candidate_05,2,3,1,false,,,Fri Aug 07 2026 02:57:14 GMT-0400 (Eastern Daylight Time),Fri Aug 07 2026 20:43:41 GMT-0400 (Eastern Daylight Time),64047,I saw some people at the table with the checkered cloth looking at a cardboard box that was sitting on top of a larger rectangular box. What color was the larger box underneath the cardboard one?,"[""A blue box"",""A red box"",""A green box"",""A yellow box"",""A black box""]",A,A blue box,Jake,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY1/DAY1_A1_JAKE_11153000.mp4,Tasha,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A3_TASHA/DAY1/DAY1_A3_TASHA_11153000.mp4,true,day1_4_annotated_20
egolife_rlhf_packet_ranking_v2,fc8ae24487bab271f513,day1_4_full_day_98_packets,xl6775,completed,2,EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY1_11240000_A2_A4_0-1,1,EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY1_11240000_A2_A4_0-1::candidate_04,2,1,1,false,,,Fri Aug 07 2026 20:43:46 GMT-0400 (Eastern Daylight Time),Fri Aug 07 2026 20:57:01 GMT-0400 (Eastern Daylight Time),796,"I was looking at the whiteboard with the red and blue magnets earlier, but I couldn't see what was sitting on the ledge right next to it. What was the vase holding?","[""Pink flowers"",""Green plants"",""White candles"",""Blue books"",""Red pens""]",A,Pink flowers,Alice,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A2_ALICE/DAY1/DAY1_A2_ALICE_11240000.mp4,Lucia,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A4_LUCIA/DAY1/DAY1_A4_LUCIA_11240000.mp4,true,day1_4_annotated_20
egolife_rlhf_packet_ranking_v2,fc8ae24487bab271f513,day1_4_full_day_98_packets,xl6775,completed,2,EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY1_11240000_A2_A4_0-1,2,EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY1_11240000_A2_A4_0-1::candidate_06,2,3,1,false,,,Fri Aug 07 2026 20:43:46 GMT-0400 (Eastern Daylight Time),Fri Aug 07 2026 20:57:01 GMT-0400 (Eastern Daylight Time),796,"I noticed the person with pink hair sitting at the table, but I couldn't see what shirt they were wearing. Which shirt was the person with pink hair wearing?","[""A white t-shirt"",""A pink long-sleeve shirt"",""A blue t-shirt"",""A black jacket"",""A grey hoodie""]",A,A white t-shirt,Alice,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A2_ALICE/DAY1/DAY1_A2_ALICE_11240000.mp4,Lucia,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A4_LUCIA/DAY1/DAY1_A4_LUCIA_11240000.mp4,true,day1_4_annotated_20
egolife_rlhf_packet_ranking_v2,fc8ae24487bab271f513,day1_4_full_day_98_packets,xl6775,completed,2,EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY1_11240000_A2_A4_0-1,3,EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY1_11240000_A2_A4_0-1::candidate_03,2,1,1,false,,,Fri Aug 07 2026 20:43:46 GMT-0400 (Eastern Daylight Time),Fri Aug 07 2026 20:57:01 GMT-0400 (Eastern Daylight Time),796,"I noticed the person standing near the doorway wearing a pink shirt, but I couldn't see the color of their pants from my angle at the table. What color pants was that person wearing?","[""a pink shirt and pink pants"",""a pink shirt and black pants"",""a pink shirt and blue jeans"",""a pink shirt and khaki pants"",""a pink shirt and white pants""]",A,a pink shirt and pink pants,Alice,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A2_ALICE/DAY1/DAY1_A2_ALICE_11240000.mp4,Lucia,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A4_LUCIA/DAY1/DAY1_A4_LUCIA_11240000.mp4,true,day1_4_annotated_20
egolife_rlhf_packet_ranking_v2,fc8ae24487bab271f513,day1_4_full_day_98_packets,xl6775,completed,2,EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY1_11240000_A2_A4_0-1,4,EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY1_11240000_A2_A4_0-1::candidate_02,2,1,1,false,,,Fri Aug 07 2026 20:43:46 GMT-0400 (Eastern Daylight Time),Fri Aug 07 2026 20:57:01 GMT-0400 (Eastern Daylight Time),796,"I could see the whiteboard with the magnets from my angle, but I couldn't see what was sitting on the table right next to it. What was the colorful object placed on the table beside the whiteboard?","[""a vase of pink flowers"",""a stack of white napkins"",""a black circular bag"",""a blue portable speaker"",""a clear glass pitcher""]",A,a vase of pink flowers,Alice,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A2_ALICE/DAY1/DAY1_A2_ALICE_11240000.mp4,Lucia,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A4_LUCIA/DAY1/DAY1_A4_LUCIA_11240000.mp4,true,day1_4_annotated_20
